model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,GW,horizon
KNeighborsDist_FULL,,mean_absolute_error,,8.648175477981567,,8.648175477981567,1,True,7,4,3
WeightedEnsemble_L2,-1.5814557373057119,mean_absolute_error,7.3658366203308105,206.19588685035706,0.0008459091186523438,1.2088334560394287,2,True,5,4,4
LightGBMXT,-1.5817375527009367,mean_absolute_error,0.30449509620666504,198.58715152740479,0.30449509620666504,198.58715152740479,1,True,3,4,4
LightGBM,-1.635422131228447,mean_absolute_error,0.15480709075927734,53.60740852355957,0.15480709075927734,53.60740852355957,1,True,4,4,4
KNeighborsUnif,-1.7888800005316734,mean_absolute_error,4.0133562088012695,8.73170018196106,4.0133562088012695,8.73170018196106,1,True,1,4,4
KNeighborsDist,-1.7956222067162395,mean_absolute_error,7.060495615005493,6.399901866912842,7.060495615005493,6.399901866912842,1,True,2,4,4
WeightedEnsemble_L2_FULL,,mean_absolute_error,,115.24915862083435,,1.2088334560394287,2,True,10,4,4
LightGBM_FULL,,mean_absolute_error,,36.56779360771179,,36.56779360771179,1,True,9,4,4
LightGBMXT_FULL,,mean_absolute_error,,111.54482889175415,,111.54482889175415,1,True,8,4,4
KNeighborsUnif_FULL,,mean_absolute_error,,6.475853681564331,,6.475853681564331,1,True,6,4,4
KNeighborsDist_FULL,,mean_absolute_error,,2.4954962730407715,,2.4954962730407715,1,True,7,4,4
LightGBMXT,-1.569383262660005,mean_absolute_error,0.3677680492401123,240.34654068946838,0.3677680492401123,240.34654068946838,1,True,3,4,5
WeightedEnsemble_L2,-1.569383262660005,mean_absolute_error,0.36879754066467285,242.93820977210999,0.0010294914245605469,2.5916690826416016,2,True,4,4,5
KNeighborsUnif,-1.80912000131011,mean_absolute_error,5.499140024185181,12.160391092300415,5.499140024185181,12.160391092300415,1,True,1,4,5
KNeighborsDist,-1.8167373290052637,mean_absolute_error,14.26330852508545,4.81322169303894,14.26330852508545,4.81322169303894,1,True,2,4,5
WeightedEnsemble_L2_FULL,,mean_absolute_error,,167.26207661628723,,2.5916690826416016,2,True,8,4,5
LightGBMXT_FULL,,mean_absolute_error,,164.67040753364563,,164.67040753364563,1,True,7,4,5
KNeighborsUnif_FULL,,mean_absolute_error,,4.670955419540405,,4.670955419540405,1,True,5,4,5
KNeighborsDist_FULL,,mean_absolute_error,,6.953150749206543,,6.953150749206543,1,True,6,4,5
LightGBMXT,-1.6423623366912827,mean_absolute_error,0.41541504859924316,262.64584279060364,0.41541504859924316,262.64584279060364,1,True,3,4,6
WeightedEnsemble_L2,-1.6423623366912827,mean_absolute_error,0.41612839698791504,262.92313289642334,0.000713348388671875,0.27729010581970215,2,True,4,4,6
KNeighborsUnif,-1.904240002143383,mean_absolute_error,7.044017314910889,5.933119297027588,7.044017314910889,5.933119297027588,1,True,1,4,6
KNeighborsDist,-1.9227553078219992,mean_absolute_error,4.991618394851685,1.2099788188934326,4.991618394851685,1.2099788188934326,1,True,2,4,6
WeightedEnsemble_L2_FULL,,mean_absolute_error,,207.85330772399902,,0.27729010581970215,2,True,8,4,6
LightGBMXT_FULL,,mean_absolute_error,,207.57601761817932,,207.57601761817932,1,True,7,4,6
KNeighborsUnif_FULL,,mean_absolute_error,,12.108427286148071,,12.108427286148071,1,True,5,4,6
KNeighborsDist_FULL,,mean_absolute_error,,5.602613687515259,,5.602613687515259,1,True,6,4,6
LightGBMXT,-1.4377046199103003,mean_absolute_error,0.9749367237091064,234.81118845939636,0.9749367237091064,234.81118845939636,1,True,3,5,1
WeightedEnsemble_L2,-1.4377046199103003,mean_absolute_error,0.9773657321929932,236.43739676475525,0.0024290084838867188,1.6262083053588867,2,True,4,5,1
KNeighborsUnif,-1.703760000026226,mean_absolute_error,6.246682167053223,3.972745656967163,6.246682167053223,3.972745656967163,1,True,1,5,1
KNeighborsDist,-1.7165634014353157,mean_absolute_error,3.2610373497009277,3.076202154159546,3.2610373497009277,3.076202154159546,1,True,2,5,1
WeightedEnsemble_L2_FULL,,mean_absolute_error,,274.49404644966125,,1.6262083053588867,2,True,8,5,1
LightGBMXT_FULL,,mean_absolute_error,,272.86783814430237,,272.86783814430237,1,True,7,5,1
KNeighborsUnif_FULL,,mean_absolute_error,,8.811920642852783,,8.811920642852783,1,True,5,5,1
KNeighborsDist_FULL,,mean_absolute_error,,5.048943996429443,,5.048943996429443,1,True,6,5,1
LightGBMXT,-1.5573834169653942,mean_absolute_error,0.48651838302612305,259.5091903209686,0.48651838302612305,259.5091903209686,1,True,3,5,2
WeightedEnsemble_L2,-1.5573834169653942,mean_absolute_error,0.4871513843536377,260.445317029953,0.0006330013275146484,0.936126708984375,2,True,4,5,2
KNeighborsUnif,-1.7906399978280068,mean_absolute_error,4.382056474685669,5.2703163623809814,4.382056474685669,5.2703163623809814,1,True,1,5,2
KNeighborsDist,-1.7934497483315877,mean_absolute_error,5.293454647064209,6.33674693107605,5.293454647064209,6.33674693107605,1,True,2,5,2
WeightedEnsemble_L2_FULL,,mean_absolute_error,,127.17177867889404,,0.936126708984375,2,True,8,5,2
LightGBMXT_FULL,,mean_absolute_error,,126.23565196990967,,126.23565196990967,1,True,7,5,2
KNeighborsUnif_FULL,,mean_absolute_error,,10.026291608810425,,10.026291608810425,1,True,5,5,2
KNeighborsDist_FULL,,mean_absolute_error,,9.24665093421936,,9.24665093421936,1,True,6,5,2
